Time,Open,High,Low,Last,Change,%Chg,Volume
10/25/2024,229.74,233.22,229.57,231.41,0.84,0.36%,38802300
10/24/2024,229.98,230.82,228.41,230.57,-0.19,-0.08%,31109500
10/23/2024,234.08,235.144,227.76,230.76,-5.1,-2.16%,52286900
10/22/2024,233.88,236.22,232.6,235.86,-0.62,-0.26%,38846500
10/21/2024,234.45,236.85,234.45,236.48,1.48,0.63%,36254400
10/18/2024,236.18,236.18,234.01,235,2.85,1.23%,46431400
10/17/2024,233.43,233.85,230.52,232.15,0.37,0.16%,32993800
10/16/2024,231.6,232.12,229.84,231.78,-2.07,-0.89%,34082200
10/15/2024,233.61,237.49,232.37,233.85,2.55,1.10%,64751300
10/14/2024,228.7,231.73,228.6,231.3,3.75,1.65%,39882000
10/11/2024,229.3,229.41,227.34,227.55,-1.49,-0.65%,31759100
10/10/2024,227.78,229.5,227.17,229.04,-0.5,-0.22%,28183500
10/09/2024,225.23,229.75,224.83,229.54,3.77,1.67%,33591000
10/08/2024,224.3,225.98,223.25,225.77,4.08,1.84%,31855600
10/07/2024,224.5,225.69,221.33,221.69,-5.11,-2.25%,39505300
10/04/2024,227.9,228,224.13,226.8,1.13,0.50%,37345000
10/03/2024,225.14,226.805,223.32,225.67,-1.11,-0.49%,34044100
10/02/2024,225.89,227.37,223.02,226.78,0.57,0.25%,32880600
10/01/2024,229.52,229.65,223.74,226.21,-6.79,-2.91%,63285000
09/30/2024,230.04,233,229.65,233,5.21,2.29%,54793300
09/27/2024,228.46,229.52,227.3,227.79,0.27,0.12%,34025900
09/26/2024,227.3,228.5,225.41,227.52,1.15,0.51%,36636700
09/25/2024,224.93,227.29,224.02,226.37,-1,-0.44%,42308700
09/24/2024,228.645,229.35,225.73,227.37,0.9,0.40%,43556000
09/23/2024,227.34,229.45,225.81,226.47,-1.73,-0.76%,54146000
09/20/2024,229.97,233.09,227.62,228.2,-0.67,-0.29%,318679800
09/19/2024,224.99,229.82,224.63,228.87,8.18,3.71%,66781300
09/18/2024,217.55,222.71,217.54,220.69,3.9,1.80%,59894900
09/17/2024,215.75,216.9,214.5,216.79,0.47,0.22%,45519300
09/16/2024,216.54,217.22,213.92,216.32,-6.18,-2.78%,59357400
09/13/2024,223.58,224.04,221.91,222.5,-0.27,-0.12%,36766600
09/12/2024,222.5,223.55,219.82,222.77,0.11,0.05%,37498200
09/11/2024,221.46,223.09,217.89,222.66,2.55,1.16%,44587000
09/10/2024,218.92,221.48,216.73,220.11,-0.8,-0.36%,51591000
09/09/2024,220.82,221.27,216.71,220.91,0.09,0.04%,67179900
09/06/2024,223.95,225.24,219.77,220.82,-1.56,-0.70%,48423000
09/05/2024,221.63,225.48,221.52,222.38,1.53,0.69%,36615300
09/04/2024,221.66,221.78,217.48,220.85,-1.92,-0.86%,43840100
09/03/2024,228.55,229,221.17,222.77,-6.23,-2.72%,50190500
08/30/2024,230.19,230.4,227.48,229,-0.79,-0.34%,52990700
08/29/2024,230.1,232.92,228.88,229.79,3.3,1.46%,51906300
08/28/2024,227.92,229.86,225.68,226.49,-1.54,-0.68%,38052100
08/27/2024,225.995,228.85,224.89,228.03,0.85,0.37%,35934500
08/26/2024,226.76,227.28,223.8905,227.18,0.34,0.15%,30602200
08/23/2024,225.6589,228.22,224.33,226.84,2.31,1.03%,38677200
08/22/2024,227.79,228.34,223.9,224.53,-1.87,-0.83%,43695300
08/21/2024,226.52,227.98,225.05,226.4,-0.11,-0.05%,34765400
08/20/2024,225.77,227.17,225.45,226.51,0.62,0.27%,30299000
08/19/2024,225.72,225.99,223.04,225.89,-0.16,-0.07%,40687800
08/16/2024,223.92,226.8271,223.6501,226.05,1.33,0.59%,44340200
08/15/2024,224.6,225.35,222.76,224.72,3,1.35%,46414000
08/14/2024,220.57,223.03,219.7,221.72,0.45,0.20%,41960500
08/13/2024,219.01,221.89,219.01,221.27,3.74,1.72%,44155300
08/12/2024,216.07,219.5099,215.6,217.53,1.29,0.60%,38028000
08/09/2024,212.1,216.78,211.97,216.24,2.93,1.37%,42201600
08/08/2024,213.11,214.2,208.83,213.31,3.49,1.66%,47161100
08/07/2024,206.9,213.64,206.39,209.82,2.59,1.25%,63516400
08/06/2024,205.3,209.99,201.07,207.23,-2.04,-0.97%,69660400
08/05/2024,199.09,213.5,196,209.27,-10.59,-4.82%,119548600
08/02/2024,219.15,225.6,217.71,219.86,1.5,0.69%,105568500
08/01/2024,224.37,224.48,217.02,218.36,-3.72,-1.68%,62500900
07/31/2024,221.44,223.82,220.63,222.08,3.28,1.50%,50036200
07/30/2024,219.19,220.325,216.12,218.8,0.56,0.26%,41643800
07/29/2024,216.96,219.3,215.75,218.24,0.28,0.13%,36311700